Gym Name,State,Region,Gym Type,Boulder Grade Range,Rope Grade Range,Wall Style,Soft/Medium/Hard,One-Sentence Explanation
Sender One (SNA),CA,West,Mixed,V0–V12+,5.6–5.14,Tall & Aesthetic,Soft,"Known for gymnastic, 'comp-style' setting and very tall, impressive walls that can feel generous in grading."
Mesa Rim (Mission Valley),CA,West,Mixed,V0–V12,5.5–5.14,Huge Overhangs,Medium,"Generally fair grading with massive, endurance-heavy lead walls that mimic outdoor pump."
Touchstone (Dogpatch),CA,West,Bouldering,V0–V12,—,Open & Flowy,Soft,"Famous for 'vacation grades' that prioritize fun, flowy movement over raw difficulty."
The Front (Salt Lake),UT,West,Mixed,V0–V13,5.6–5.14,Steep & Powerful,Hard,"Notorious for sandbagged, strength-dependent boulder problems and steep competition walls."
Movement (Baker/RiNo),CO,West,Mixed,V0–V13,5.6–5.14,Commercial Mix,Medium,"The standard for modern commercial grading; consistent, approachable, but rarely stiff."
Seattle Bouldering Project,WA,West,Bouldering,Circuits (Yellow–Black),—,Geometric/Volumes,Soft,"Circuit grading system tends to encompass wide ranges, often leaning soft to remain accessible."
Vertical World (Seattle),WA,West,Mixed,V0–V11,5.6–5.13+,Old School/Textured,Hard,"First gym in America; retains an 'old school' grit with stiff, technical, and often crimpy setting."
The Circuit (Tigard/NE),OR,West,Bouldering,V0–V11,—,Slab & Vert,Very Soft,Widely considered one of the softest gyms in the West; beginner-friendly but grade-inflated.
Momentum (Millcreek),UT,West,Mixed,V0–V13,5.5–5.13+,Archways & Cracks,Medium,Creative setting with specific crack features; grading is generally fair but can feel soft on big holds.
The Spot (Boulder),CO,West,Bouldering,Spot Scale (1–5+),—,Natural Features,Likely Medium,Uses unique 'Spot Scale' (1–5 spots); famous for top-outs and natural-feeling features that blur indoor/outdoor styles.
Austin Bouldering Project,TX,South,Bouldering,Circuits (Yellow–Black),—,Comp/Volumes,Soft,Focuses on broad accessibility with circuit grades that often feel easier than outdoor equivalents.
Crux Climbing Center,TX,South,Mixed,V-Ranges (V0–V12),5.6–5.13,Transformer Wall,Medium,"Uses grade ranges (e.g., V3–V5) which keeps things honest, though 'comp style' setting dominates."
Stone Summit (Atlanta),GA,South,Mixed,V0–V11,5.6–5.14,Massive Vert/Steep,Hard,Tall 60ft walls require serious endurance; older sets can feel particularly sandbagged and reachy.
Vertical Ventures (St. Pete),FL,South,Mixed,V0–V11,5.5–5.13,Features & Aretes,Medium,Good mix of styles; grades are generally consistent for the region but softer than the Northeast.
Project Rock,FL,South,Mixed,V0–V10,5.6–5.13,Commercial/Themed,Soft,Very commercialized atmosphere often results in 'feel good' grading for newer climbers.
Inner Peaks (South End),NC,South,Mixed,V0–V12,5.6–5.13+,Triangular/Geometric,Medium,Consistent 'triangular' distribution of grades; known for the 'Bike Rack' slab and fair ratings.
Triangle Rock Club,NC,South,Mixed,V0–V11,5.5–5.13,Commercial Mix,Soft,Uses a sometimes confusing 'ranged' tag system; generally considers member satisfaction over stiff grades.
High Point (Chattanooga),TN,South,Mixed,V0–V11,5.5–5.13+,Downtown/Display,Soft,Tourist-heavy location leads to approachable grading; a gym V6 might feel like an outdoor V3.
Climb Nashville,TN,South,Mixed,V0–V10,5.6–5.13,Steep Overhangs,Medium,"A strong local community keeps grading grounded, though still softer than the nearby steep outdoor crags."
Summit Gyms (Grapevine),TX,South,Mixed,V0–V12,5.6–5.13,Classic Gym Style,Medium,Recently acquired by Movement; historically 'old school soft' but shifting toward standardized commercial grading.
First Ascent (Avondale),IL,Midwest,Mixed,V0–V12,5.6–5.13+,Steep & Techy,Hard,"Avondale is the 'climber's gym' of the chain, known for stiffer grades than its Uptown sibling."
Vertical Endeavors (St. Paul),MN,Midwest,Mixed,V0–V12,5.5–5.13,Vert/Slab Heavy,Medium,"Mixed bag; rope grades can be soft, but bouldering often feels stiff and technical/crimpy."
